PromotionID,Name,CampaignType,StartDate,EndDate,TargetSegment,DiscountType,PlannedLift%,PlannedBudget
PR001,BF-PR001,BF,2025-12-02,2025-12-09,New Customers,Percent,24.1,981583.96
PR002,Holiday-PR002,Holiday,2025-12-02,2025-12-05,Loyalty,Percent,40.5,892678.2200000001
PR003,BF-PR003,BF,2025-12-18,2025-12-28,Returning Customers,Price,42.0,1025388.49
PR004,Holiday-PR004,Holiday,2025-11-14,2025-11-17,Loyalty,BOGO,35.5,790782.09
PR005,BF-PR005,BF,2025-11-14,2025-11-20,Loyalty,Percent,46.6,351736.49
PR006,Holiday-PR006,Holiday,2025-12-29,2026-01-02,All,Percent,25.2,743415.82
PR007,Holiday-PR007,Holiday,2025-12-04,2025-12-09,Loyalty,Price,26.8,148795.01
PR008,Holiday-PR008,Holiday,2025-12-22,2025-12-31,New Customers,Percent,7.7,545499.29
PR009,BF-PR009,BF,2025-11-12,2025-11-20,New Customers,BOGO,8.8,780943.59
PR010,Holiday-PR010,Holiday,2025-12-04,2025-12-13,All,BOGO,37.7,297178.7
PR011,CM-PR011,CM,2025-11-27,2025-12-06,All,Percent,9.5,624419.25
PR012,Holiday-PR012,Holiday,2025-11-19,2025-11-28,Loyalty,Price,23.2,696439.1
PR013,BF-PR013,BF,2025-12-29,2026-01-05,Returning Customers,Percent,46.9,1035080.62
PR014,CM-PR014,CM,2025-11-02,2025-11-10,Loyalty,Percent,11.3,140961.52000000002
PR015,Holiday-PR015,Holiday,2025-12-06,2025-12-11,Loyalty,Price,45.5,506735.81
PR016,Clearance-PR016,Clearance,2025-11-12,2025-11-15,Returning Customers,Percent,12.7,384240.92
PR017,BF-PR017,BF,2025-11-03,2025-11-10,New Customers,BOGO,30.7,1011176.53
PR018,CM-PR018,CM,2025-12-04,2025-12-09,Returning Customers,Percent,45.0,657008.7999999999
PR019,Holiday-PR019,Holiday,2025-12-20,2025-12-25,New Customers,Percent,16.0,761046.37
PR020,Holiday-PR020,Holiday,2025-12-07,2025-12-15,All,Percent,48.3,765025.94
PR021,Holiday-PR021,Holiday,2025-11-20,2025-11-24,Loyalty,Price,17.8,960772.6100000001
PR022,Holiday-PR022,Holiday,2025-12-18,2025-12-23,New Customers,BOGO,47.0,785581.5800000001
PR023,BF-PR023,BF,2025-12-24,2026-01-03,All,Percent,23.0,157319.26
PR024,Holiday-PR024,Holiday,2025-12-18,2025-12-27,Returning Customers,BOGO,37.5,597161.6699999999
PR025,Holiday-PR025,Holiday,2025-11-22,2025-11-26,New Customers,Price,46.7,494288.62
PR026,Clearance-PR026,Clearance,2025-11-03,2025-11-11,All,BOGO,46.4,261034.12999999998
PR027,Holiday-PR027,Holiday,2025-11-27,2025-12-05,All,Percent,22.4,915932.7799999999
PR028,Holiday-PR028,Holiday,2025-11-13,2025-11-20,All,Percent,49.0,47315.450000000004
PR029,BF-PR029,BF,2025-12-12,2025-12-17,Returning Customers,Percent,5.8,73104.15000000001
PR030,Clearance-PR030,Clearance,2025-11-17,2025-11-21,All,Price,38.1,565901.35
PR031,Clearance-PR031,Clearance,2025-12-12,2025-12-17,Returning Customers,Percent,37.1,411095.37
PR032,Holiday-PR032,Holiday,2025-11-29,2025-12-09,Returning Customers,Percent,34.4,581151.06
PR033,Holiday-PR033,Holiday,2025-12-07,2025-12-13,All,Percent,13.3,666326.2200000001
PR034,BF-PR034,BF,2025-11-18,2025-11-27,Loyalty,Price,6.1,231848.39999999997
PR035,CM-PR035,CM,2025-12-04,2025-12-11,All,Percent,28.9,165975.81
PR036,Clearance-PR036,Clearance,2025-11-18,2025-11-23,New Customers,Percent,41.3,421426.74
PR037,BF-PR037,BF,2025-12-05,2025-12-11,All,BOGO,31.0,743886.01
PR038,BF-PR038,BF,2025-12-17,2025-12-25,New Customers,Percent,7.7,211684.97
PR039,BF-PR039,BF,2025-12-17,2025-12-24,All,Percent,26.6,102093.18
PR040,CM-PR040,CM,2025-12-10,2025-12-18,Returning Customers,Percent,34.1,742102.69
PR041,Holiday-PR041,Holiday,2025-11-05,2025-11-15,Returning Customers,Percent,47.8,627670.3300000001
PR042,Holiday-PR042,Holiday,2025-11-06,2025-11-11,Returning Customers,Percent,39.9,632372.86
PR043,Holiday-PR043,Holiday,2025-12-12,2025-12-18,All,BOGO,20.2,653607.99
PR044,BF-PR044,BF,2025-12-29,2026-01-02,New Customers,Percent,21.6,498680.70000000007
PR045,Holiday-PR045,Holiday,2025-12-29,2026-01-03,Loyalty,Percent,35.9,241475.01
PR046,BF-PR046,BF,2025-12-05,2025-12-09,Returning Customers,Price,26.0,230925.10000000003
PR047,BF-PR047,BF,2025-12-09,2025-12-13,New Customers,Price,19.6,740164.74
PR048,Holiday-PR048,Holiday,2025-11-26,2025-12-03,New Customers,BOGO,43.8,659725.36
PR049,BF-PR049,BF,2025-12-24,2025-12-28,Loyalty,Percent,40.2,928424.9800000001
PR050,BF-PR050,BF,2026-01-01,2026-01-05,All,Price,15.0,976010.1399999999
PR051,Holiday-PR051,Holiday,2025-11-14,2025-11-17,Returning Customers,Percent,26.6,891638.37
PR052,Holiday-PR052,Holiday,2025-12-30,2026-01-05,All,Percent,28.5,754757.7799999999
PR053,Holiday-PR053,Holiday,2025-11-23,2025-11-26,All,BOGO,7.4,477674.39999999997
PR054,BF-PR054,BF,2025-12-16,2025-12-23,Loyalty,Percent,31.0,45627.61
PR055,Clearance-PR055,Clearance,2025-12-02,2025-12-07,Loyalty,Price,40.7,533474.34
PR056,Holiday-PR056,Holiday,2025-11-29,2025-12-08,New Customers,BOGO,43.5,400274.56
PR057,BF-PR057,BF,2025-12-27,2026-01-05,Returning Customers,Price,5.5,442188.32
PR058,Holiday-PR058,Holiday,2025-11-12,2025-11-17,Returning Customers,Percent,22.3,474082.49000000005
PR059,CM-PR059,CM,2025-11-29,2025-12-05,Returning Customers,Price,44.2,1009441.37
PR060,BF-PR060,BF,2025-11-17,2025-11-23,Loyalty,Percent,47.6,44870.91
